"a2.1","a2.2","a2.3","a2.4","a2.5","a2.6","a2.7","a2.8","a2.9","a2.10","a2.11","a2.12","a2.13","a2.14","a2.15","a2.16","a2.17","a2.18","a2.19","a2.20","a2.21","a2.22","a2.23","a2.24","a2.25","a2.26","a2.27","a2.28","a2.29","a2.30","a2.31","a2.32","a2.33","a2.34","a2.35","a2.36","a2.37","a2.38","a2.39","a2.40","a2.41","a2.42","a2.43","a2.44","a2.45","a2.46","a2.47","a2.48","a2.49","a2.50","a2.51","a2.52","a2.53","a2.54","a2.55","a2.56","a2.57","a2.58","a2.59","a2.60","a2.61","a2.62","a2.63","a2.64","a2.65","a2.66","a2.67","a2.68","a2.69","a2.70","a2.71","a2.72","a2.73","a2.74","a2.75","a2.76","a2.77","a2.78","a2.79","a2.80","a2.81","a2.82","a2.83","a2.84","a2.85","a2.86","a2.87","a2.88","a2.89","a2.90","a2.91","a2.92","a2.93","a2.94","a2.95","a2.96","a2.97","a2.98","a2.99","a2.100","a2.101","a2.102","a2.103","a2.104","a2.105","a2.106","a2.107","a2.108","a2.109","a2.110","a2.111","a2.112","a2.113","a2.114","a2.115","a2.116","a2.117","a2.118","a2.119","a2.120"
"000000","645","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","2","86942","00001010","edm","paicipantresponseblue","correct","414","radio","67","radio","colorred","practice","num0","typepractice","singlestim","4","92559","00001030","edc","paicipantresponsered","correct","555","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","6","98318","00001050","edm","paicipantresponseblue","correct","623","desk","67","desk","colorred","practice","num0","typepractice","singlestim","8","104143","00001070","edc","paicipantresponsered","correct","586","cat","67","cat","colorred","practice","num0","typepractice","singlestim","10","109933","00001090","edc","paicipantresponsered","correct","510","table","77","table","colorblue","practice","num0","typepractice","singlestim","12","115647","000010110","edm","paicipantresponseblue","correct","538","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","14","121390","000010130","edm","paicipantresponseblue","correct","654","ball","67","ball","colorred","practice","num0","typepractice","singlestim","16","127247","000010150","edc","paicipantresponsered"
"000000","977","ball","67","ball","colorred","practice","num0","typepractice","singlestim","2","43818","00001010","edc","paicipantresponsered","correct","518","cat","67","cat","colorred","practice","num0","typepractice","singlestim","4","49548","00001030","edc","paicipantresponsered","correct","497","radio","67","radio","colorred","practice","num0","typepractice","singlestim","6","55256","00001050","edc","paicipantresponsered","correct","351","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","8","60820","00001070","edm","paicipantresponseblue","correct","391","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","10","66421","00001090","edm","paicipantresponseblue","correct","450","desk","67","desk","colorred","practice","num0","typepractice","singlestim","12","72080","000010110","edc","paicipantresponsered","correct","527","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","14","77818","000010130","edm","paicipantresponseblue","correct","545","table","77","table","colorblue","practice","num0","typepractice","singlestim","16","83575","000010150","edm","paicipantresponseblue"
"000000","632","desk","67","desk","colorred","practice","num0","typepractice","singlestim","2","47268","00001010","edc","paicipantresponsered","correct","490","ball","67","ball","colorred","practice","num0","typepractice","singlestim","4","52974","00001030","edc","paicipantresponsered","correct","450","cat","67","cat","colorred","practice","num0","typepractice","singlestim","6","58646","00001050","edc","paicipantresponsered","correct","522","table","77","table","colorblue","practice","num0","typepractice","singlestim","8","64384","00001070","edm","paicipantresponseblue","correct","412","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","10","70016","00001090","edm","paicipantresponseblue","correct","422","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","12","75660","000010110","edm","paicipantresponseblue","correct","372","radio","67","radio","colorred","practice","num0","typepractice","singlestim","14","81244","000010130","edc","paicipantresponsered","correct","344","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","16","86804","000010150","edm","paicipantresponseblue"
"000000","618","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","2","47600","00001010","edm","paicipantresponseblue","correct","330","ball","67","ball","colorred","practice","num0","typepractice","singlestim","4","53134","00001030","edc","paicipantresponsered","correct","389","radio","67","radio","colorred","practice","num0","typepractice","singlestim","6","58727","00001050","edc","paicipantresponsered","correct","298","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","8","64228","00001070","edm","paicipantresponseblue","correct","317","desk","67","desk","colorred","practice","num0","typepractice","singlestim","10","69749","00001090","edc","paicipantresponsered","correct","290","table","77","table","colorblue","practice","num0","typepractice","singlestim","12","75244","000010110","edm","paicipantresponseblue","correct","424","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","14","80871","000010130","edm","paicipantresponseblue","correct","332","cat","67","cat","colorred","practice","num0","typepractice","singlestim","16","86409","000010150","edc","paicipantresponsered"
"000000","432","cat","67","cat","colorred","practice","num0","typepractice","singlestim","2","15975","00001010","edc","paicipantresponsered","correct","333","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","4","21514","00001030","edm","paicipantresponseblue","correct","344","radio","67","radio","colorred","practice","num0","typepractice","singlestim","6","27062","00001050","edc","paicipantresponsered","correct","305","table","77","table","colorblue","practice","num0","typepractice","singlestim","8","32572","00001070","edm","paicipantresponseblue","correct","471","desk","67","desk","colorred","practice","num0","typepractice","singlestim","10","38249","00001090","edc","paicipantresponsered","correct","364","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","12","43816","000010110","edm","paicipantresponseblue","correct","409","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","14","49430","000010130","edm","paicipantresponseblue","correct","347","ball","67","ball","colorred","practice","num0","typepractice","singlestim","16","54980","000010150","edc","paicipantresponsered"
"000000","1215","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","2","101460","00001010","edm","paicipantresponseblue","correct","559","table","77","table","colorblue","practice","num0","typepractice","singlestim","4","107225","00001030","edm","paicipantresponseblue","correct","520","radio","67","radio","colorred","practice","num0","typepractice","singlestim","6","112952","00001050","edc","paicipantresponsered","correct","584","ball","67","ball","colorred","practice","num0","typepractice","singlestim","8","118743","00001070","edc","paicipantresponsered","correct","610","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","10","124559","00001090","edm","paicipantresponseblue","correct","494","desk","67","desk","colorred","practice","num0","typepractice","singlestim","12","130259","000010110","edc","paicipantresponsered","correct","439","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","14","135905","000010130","edm","paicipantresponseblue","correct","568","cat","67","cat","colorred","practice","num0","typepractice","singlestim","16","141679","000010150","edc","paicipantresponsered"
"000000","446","radio","67","radio","colorred","practice","num0","typepractice","singlestim","2","36052","00001010","edc","paicipantresponsered","correct","330","table","77","table","colorblue","practice","num0","typepractice","singlestim","4","41649","00001030","edm","paicipantresponseblue","correct","406","cat","67","cat","colorred","practice","num0","typepractice","singlestim","6","47299","00001050","edc","paicipantresponsered","correct","359","ball","67","ball","colorred","practice","num0","typepractice","singlestim","8","52925","00001070","edc","paicipantresponsered","correct","631","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","10","58817","00001090","edm","paicipantresponseblue","correct","348","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","12","64428","000010110","edm","paicipantresponseblue","correct","363","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","14","70055","000010130","edm","paicipantresponseblue","correct","340","desk","67","desk","colorred","practice","num0","typepractice","singlestim","16","75637","000010150","edc","paicipantresponsered"
"000000","848","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","2","49748","00001010","edm","paicipantresponseblue","correct","655","ball","67","ball","colorred","practice","num0","typepractice","singlestim","4","55619","00001030","edc","paicipantresponsered","correct","425","desk","67","desk","colorred","practice","num0","typepractice","singlestim","6","61251","00001050","edc","paicipantresponsered","correct","499","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","8","66956","00001070","edm","paicipantresponseblue","correct","486","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","10","72647","00001090","edm","paicipantresponseblue","correct","460","radio","67","radio","colorred","practice","num0","typepractice","singlestim","12","78311","000010110","edc","paicipantresponsered","correct","355","cat","67","cat","colorred","practice","num0","typepractice","singlestim","14","83872","000010130","edc","paicipantresponsered","correct","649","table","77","table","colorblue","practice","num0","typepractice","singlestim","16","89726","000010150","edm","paicipantresponseblue"
"000000","910","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","2","14341","00001010","edm","paicipantresponseblue","correct","648","table","77","table","colorblue","practice","num0","typepractice","singlestim","4","20193","00001030","edm","paicipantresponseblue","correct","678","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","6","26075","00001050","edm","paicipantresponseblue","correct","534","desk","67","desk","colorred","practice","num0","typepractice","singlestim","8","31813","00001070","edc","paicipantresponsered","correct","1561","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","10","38579","00001090","edm","paicipantresponseblue","correct","715","cat","67","cat","colorred","practice","num0","typepractice","singlestim","12","44498","000010110","edc","paicipantresponsered","correct","633","ball","67","ball","colorred","practice","num0","typepractice","singlestim","14","50335","000010130","edc","paicipantresponsered","correct","568","radio","67","radio","colorred","practice","num0","typepractice","singlestim","16","56108","000010150","edc","paicipantresponsered"
"000000","1174","cat","67","cat","colorred","practice","num0","typepractice","singlestim","2","15750","00001010","edc","paicipantresponsered","correct","1098","radio","67","radio","colorred","practice","num0","typepractice","singlestim","4","22073","00001030","edc","paicipantresponsered","correct","375","desk","67","desk","colorred","practice","num0","typepractice","singlestim","6","27689","00001050","edc","paicipantresponsered","correct","472","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","8","33368","00001070","edm","paicipantresponseblue","correct","749","ball","67","ball","colorred","practice","num0","typepractice","singlestim","10","39324","00001090","edc","paicipantresponsered","correct","815","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","12","45348","000010110","edm","paicipantresponseblue","correct","761","table","77","table","colorblue","practice","num0","typepractice","singlestim","14","51317","000010130","edm","paicipantresponseblue","correct","665","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","16","57188","000010150","edm","paicipantresponseblue"
"000000","1","tape","1","tape","colorblue","practice","num0","typepractice","singlestim","2","46681","00001010","ed","incorrect","399","ball","67","ball","colorred","practice","num0","typepractice","singlestim","4","52289","00001030","edc","paicipantresponsered","correct","320","table","77","table","colorblue","practice","num0","typepractice","singlestim","6","57814","00001050","edm","paicipantresponseblue","correct","327","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","8","63347","00001070","edm","paicipantresponseblue","correct","400","desk","67","desk","colorred","practice","num0","typepractice","singlestim","10","68954","00001090","edc","paicipantresponsered","correct","348","cat","67","cat","colorred","practice","num0","typepractice","singlestim","12","74508","000010110","edc","paicipantresponsered","correct","379","radio","67","radio","colorred","practice","num0","typepractice","singlestim","14","80093","000010130","edc","paicipantresponsered","correct","327","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","16","85630","000010150","edm","paicipantresponseblue","correct"
"000000","710","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","2","23232","00001010","edm","paicipantresponseblue","correct","397","radio","67","radio","colorred","practice","num0","typepractice","singlestim","4","17628","00001030","edc","paicipantresponsered","correct","520","desk","67","desk","colorred","practice","num0","typepractice","singlestim","6","11901","00001050","edc","paicipantresponsered","correct","603","table","77","table","colorblue","practice","num0","typepractice","singlestim","8","6091","00001070","edm","paicipantresponseblue","correct","460","cat","67","cat","colorred","practice","num0","typepractice","singlestim","10","423","00001090","edc","paicipantresponsered","correct","411","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","12","5196","000010110","edm","paicipantresponseblue","correct","433","ball","67","ball","colorred","practice","num0","typepractice","singlestim","14","10835","000010130","edc","paicipantresponsered","correct","439","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","16","16481","000010150","edm","paicipantresponseblue"
"000000","826","radio","67","radio","colorred","practice","num0","typepractice","singlestim","2","36894","00001010","edc","paicipantresponsered","correct","508","table","77","table","colorblue","practice","num0","typepractice","singlestim","4","42615","00001030","edm","paicipantresponseblue","correct","452","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","6","48283","00001050","edm","paicipantresponseblue","correct","781","cat","67","cat","colorred","practice","num0","typepractice","singlestim","8","54276","00001070","edc","paicipantresponsered","correct","1092","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","10","60584","00001090","edm","paicipantresponseblue","correct","489","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","12","66283","000010110","edm","paicipantresponseblue","correct","385","desk","67","desk","colorred","practice","num0","typepractice","singlestim","14","71879","000010130","edc","paicipantresponsered","correct","602","ball","67","ball","colorred","practice","num0","typepractice","singlestim","16","77695","000010150","edc","paicipantresponsered"
"000000","647","cat","67","cat","colorred","practice","num0","typepractice","singlestim","2","38929","00001010","edc","paicipantresponsered","correct","326","table","77","table","colorblue","practice","num0","typepractice","singlestim","4","44461","00001030","edm","paicipantresponseblue","correct","382","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","6","50051","00001050","edm","paicipantresponseblue","correct","374","ball","67","ball","colorred","practice","num0","typepractice","singlestim","8","55631","00001070","edc","paicipantresponsered","correct","430","radio","67","radio","colorred","practice","num0","typepractice","singlestim","10","61268","00001090","edc","paicipantresponsered","correct","423","desk","67","desk","colorred","practice","num0","typepractice","singlestim","12","66896","000010110","edc","paicipantresponsered","correct","442","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","14","72545","000010130","edm","paicipantresponseblue","correct","388","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","16","78139","000010150","edm","paicipantresponseblue"
"000000","1","basket","1","basket","colorblue","practice","num0","typepractice","singlestim","2","1137357","00001010","ed","incorrect","807","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","4","1143369","00001030","edm","paicipantresponseblue","correct","723","cat","67","cat","colorred","practice","num0","typepractice","singlestim","6","1149298","00001050","edc","paicipantresponsered","correct","584","table","77","table","colorblue","practice","num0","typepractice","singlestim","8","1155087","00001070","edm","paicipantresponseblue","correct","679","ball","67","ball","colorred","practice","num0","typepractice","singlestim","10","1160972","00001090","edc","paicipantresponsered","correct","747","desk","67","desk","colorred","practice","num0","typepractice","singlestim","12","1166925","000010110","edc","paicipantresponsered","correct","698","radio","67","radio","colorred","practice","num0","typepractice","singlestim","14","1172828","000010130","edc","paicipantresponsered","correct","737","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","16","1178770","000010150","edm","paicipantresponseblue","correct"
"000000","1661","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","2","48517","00001010","edm","paicipantresponseblue","correct","564","cat","67","cat","colorred","practice","num0","typepractice","singlestim","4","54290","00001030","edc","paicipantresponsered","correct","592","desk","67","desk","colorred","practice","num0","typepractice","singlestim","6","60090","00001050","edc","paicipantresponsered","correct","484","radio","67","radio","colorred","practice","num0","typepractice","singlestim","8","65782","00001070","edc","paicipantresponsered","correct","619","table","77","table","colorblue","practice","num0","typepractice","singlestim","10","71610","00001090","edm","paicipantresponseblue","correct","432","ball","67","ball","colorred","practice","num0","typepractice","singlestim","12","77248","000010110","edc","paicipantresponsered","correct","397","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","14","82852","000010130","edm","paicipantresponseblue","correct","491","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","16","88552","000010150","edm","paicipantresponseblue"
"000000","439","cat","67","cat","colorred","practice","num0","typepractice","singlestim","2","8848","00001010","edc","paicipantresponsered","correct","442","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","4","14501","00001030","edm","paicipantresponseblue","correct","416","desk","67","desk","colorred","practice","num0","typepractice","singlestim","6","20127","00001050","edc","paicipantresponsered","correct","515","table","77","table","colorblue","practice","num0","typepractice","singlestim","8","25849","00001070","edm","paicipantresponseblue","correct","480","basket","67","basket","colorblue","practice","num0","typepractice","singlestim","10","31542","00001090","edc","paicipantresponsered","incorrect","719","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","12","37472","000010110","edm","paicipantresponseblue","correct","674","radio","67","radio","colorred","practice","num0","typepractice","singlestim","14","43358","000010130","edc","paicipantresponsered","correct","748","ball","67","ball","colorred","practice","num0","typepractice","singlestim","16","49318","000010150","edc","paicipantresponsered"
"000000","688","ball","67","ball","colorred","practice","num0","typepractice","singlestim","2","39102","00001010","edc","paicipantresponsered","correct","654","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","4","44966","00001030","edm","paicipantresponseblue","correct","966","desk","67","desk","colorred","practice","num0","typepractice","singlestim","6","51139","00001050","edc","paicipantresponsered","correct","785","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","8","57136","00001070","edm","paicipantresponseblue","correct","675","table","77","table","colorblue","practice","num0","typepractice","singlestim","10","63022","00001090","edm","paicipantresponseblue","correct","692","radio","67","radio","colorred","practice","num0","typepractice","singlestim","12","68923","000010110","edc","paicipantresponsered","correct","675","cat","67","cat","colorred","practice","num0","typepractice","singlestim","14","74811","000010130","edc","paicipantresponsered","correct","649","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","16","80674","000010150","edm","paicipantresponseblue"
"000000","1044","table","77","table","colorblue","practice","num0","typepractice","singlestim","2","39765","00001010","edm","paicipantresponseblue","correct","760","cat","67","cat","colorred","practice","num0","typepractice","singlestim","4","45725","00001030","edc","paicipantresponsered","correct","1440","tape","77","tape","colorblue","practice","num0","typepractice","singlestim","6","52365","00001050","edm","paicipantresponseblue","correct","953","bag","77","bag","colorblue","practice","num0","typepractice","singlestim","8","58518","00001070","edm","paicipantresponseblue","correct","639","radio","67","radio","colorred","practice","num0","typepractice","singlestim","10","64356","00001090","edc","paicipantresponsered","correct","855","desk","67","desk","colorred","practice","num0","typepractice","singlestim","12","70414","000010110","edc","paicipantresponsered","correct","1","ball","1","ball","colorred","practice","num0","typepractice","singlestim","14","77614","000010130","ed","incorrect","703","basket","77","basket","colorblue","practice","num0","typepractice","singlestim","16","83517","000010150","edm","paicipantresponseblue","correct"
