"","colour_subject","rt","stimulus","keypress","word","color","block","blocknum","wordtype","trialtype","trialindex","timeelapsed","internalnodeid","keypressed","participantresponse","correctresponse"
"89","Subject94","376","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","67434","100010","edc","paicipantresponsered","correct"
"90","Subject95","981","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","19","66809","100010","edc","paicipantresponsered","correct"
"91","Subject96","461","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","93596","100010","edm","paicipantresponseblue","correct"
"92","Subject97","455","success","67","success","colorred","test","num1","typepositive","singlestim","19","75269","100010","edc","paicipantresponsered","correct"
"93","Subject98","703","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","57445","100010","edc","paicipantresponsered","correct"
"94","Subject99","414","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","19","81470","100010","edc","paicipantresponsered","correct"
"95","Subject100","352","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","92035","100010","edm","paicipantresponseblue","correct"
"96","Subject101","614","success","67","success","colorred","test","num1","typepositive","singlestim","19","85802","100010","edc","paicipantresponsered","correct"
"97","Subject102","439","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","273534","100010","edc","paicipantresponsered","correct"
"98","Subject103","427","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","154934","100010","edc","paicipantresponsered","correct"
"99","Subject104","407","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","1058381","100010","edm","paicipantresponseblue","correct"
"100","Subject105","414","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","76190","100010","edm","paicipantresponseblue","correct"
"101","Subject106","815","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","118602","100010","edm","paicipantresponseblue","correct"
"102","Subject107","808","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","19","135936","100010","edm","paicipantresponseblue","correct"
"103","Subject108","335","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","19","105492","100010","edm","paicipantresponseblue","correct"
"104","Subject109","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","82962","100010","edm","paicipantresponseblue","correct","519"
"105","Subject110","501","success","67","success","colorred","test","num1","typepositive","singlestim","19","65133","100010","edc","paicipantresponsered","correct"
"106","Subject111","1762","museum","67","museum","colorred","test","num1","typeneutral","singlestim","19","110861","100010","edc","paicipantresponsered","correct"
"107","Subject112","401","success","77","success","colorblue","test","num1","typepositive","singlestim","19","87256","100010","edm","paicipantresponseblue","correct"
"108","Subject113","581","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","62149","100010","edc","paicipantresponsered","correct"
"109","Subject114","552","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","119136","100010","edm","paicipantresponseblue","correct"
"110","Subject115","779","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","19","86087","100010","edm","paicipantresponseblue","correct"
"111","Subject116","488","success","77","success","colorblue","test","num1","typepositive","singlestim","19","106122","100010","edm","paicipantresponseblue","correct"
"112","Subject117","315","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","130701","100010","edc","paicipantresponsered","correct"
"113","Subject118","425","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","102714","100010","edm","paicipantresponseblue","correct"
"114","Subject119","912","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","74884","100010","edc","paicipantresponsered","correct"
"115","Subject120","1094","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","488065","100010","edm","paicipantresponseblue","correct"
"116","Subject121","873","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","68757","100010","edc","paicipantresponsered","correct"
"117","Subject123","1448","paper","67","paper","colorred","test","num1","typeneutral","singlestim","19","66848","100010","edc","paicipantresponsered","correct"
"118","Subject124","1125","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","109344","100010","edc","paicipantresponsered","correct"
"119","Subject125","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","73878","100010","edm","paicipantresponseblue","correct","553"
"120","Subject126","364","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","101000","100010","edm","paicipantresponseblue","correct"
"121","Subject127","942","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","80195","100010","edm","paicipantresponseblue","correct"
"122","Subject128","435","engine","67","engine","colorblue","test","num1","typeneutral","singlestim","19","296665","100010","edc","paicipantresponsered","incorrect"
"123","Subject129","509","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","69403","100010","edm","paicipantresponseblue","correct"
"124","Subject130","669","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","78154","100010","edc","paicipantresponsered","correct"
"125","Subject131","540","rejected","77","rejected","colorred","test","num1","typenegative","singlestim","19","116018","100010","edm","paicipantresponseblue","incorrect"
"126","Subject132","1768","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","64495","100010","edc","paicipantresponsered","correct"
"127","Subject133","472","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","80281","100010","edc","paicipantresponsered","correct"
"128","Subject134","1038","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","70793","100010","edm","paicipantresponseblue","correct"
"129","Subject135","1042","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","81509","100010","edm","paicipantresponseblue","correct"
"130","Subject137","325","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","80459","100010","edm","paicipantresponseblue","correct"
"131","Subject138","572","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","117688","100010","edm","paicipantresponseblue","correct"
"132","Subject139","507","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","75739","100010","edm","paicipantresponseblue","correct"
"133","Subject140","290","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","74108","100010","edc","paicipantresponsered","correct"
"134","Subject141","450","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","112950","100010","edm","paicipantresponseblue","correct"
"135","Subject142","456","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","121381","100010","edc","paicipantresponsered","correct"
"136","Subject143","628","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","88663","100010","edc","paicipantresponsered","correct"
"137","Subject144","531","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","128563","100010","edc","paicipantresponsered","correct"
"138","Subject145","453","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","91141","100010","edm","paicipantresponseblue","correct"
"139","Subject146","510","paper","67","paper","colorred","test","num1","typeneutral","singlestim","19","118960","100010","edc","paicipantresponsered","correct"
"140","Subject147","443","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","82657","100010","edc","paicipantresponsered","correct"
"141","Subject148","939","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","83375","100010","edm","paicipantresponseblue","correct"
"142","Subject149","697","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","62940","100010","edm","paicipantresponseblue","correct"
"143","Subject150","67","success","colorred","test","num1","typepositive","singlestim","19","87642","100010","edc","paicipantresponsered","correct","486","paper"
"144","Subject151","319","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","58162","100010","edc","paicipantresponsered","correct"
"145","Subject152","504","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","83107","100010","edc","paicipantresponsered","correct"
"146","Subject154","404","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","454546","100010","edm","paicipantresponseblue","correct"
"147","Subject155","suicide","67","suicide","colorblue","test","num1","typesuicide","singlestim","19","64377","100010","edc","paicipantresponsered","incorrect","980"
"148","Subject156","412","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","175684","100010","edc","paicipantresponsered","correct"
"149","Subject157","singlestim","19","83165","100010","edc","paicipantresponsered","correct","1002","funeral","77","funeral","colorblue","test","num1","typesuicide"
"150","Subject158","447","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","71551","100010","edm","paicipantresponseblue","correct"
"151","Subject159","417","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","82293","100010","edm","paicipantresponseblue","correct"
"152","Subject181","519","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","150941","100010","edm","paicipantresponseblue","correct"
"153","Subject182","531","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","19","93090","100010","edm","paicipantresponseblue","correct"
"154","Subject183","920","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","19","89117","100010","edc","paicipantresponsered","correct"
"155","Subject184","391","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","19","82646","100010","edm","paicipantresponseblue","correct"
"156","Subject185","478","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","19","161541","100010","edc","paicipantresponsered","correct"
"157","Subject186","446","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","113905","100010","edc","paicipantresponsered","correct"
"158","Subject187","3258","73","text","18","101470","101","630","radio","67","radio","colorred","practice","num0","typepractice","singlestim"
"159","Subject188","alone","77","alone","colorblue","test","num1","typenegative","singlestim","19","93757","100010","edm","paicipantresponseblue","correct","380"
"160","Subject189","633","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","116080","100010","edc","paicipantresponsered","correct"
"161","Subject190","67","funeral","colorred","test","num1","typesuicide","singlestim","19","80032","100010","edc","paicipantresponsered","correct","421","suicide"
"162","Subject191","479","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","19","103458","100010","edm","paicipantresponseblue","correct"
"163","Subject192","947","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","222623","100010","edc","paicipantresponsered","correct"
"164","Subject193","545","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","19","73855","100010","edm","paicipantresponseblue","correct"
"165","Subject194","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","66964","100010","edc","paicipantresponsered","correct","303"
"166","Subject196","863","success","67","success","colorred","test","num1","typepositive","singlestim","19","101557","100010","edc","paicipantresponsered","correct"
"167","Subject197","433","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","75403","100010","edc","paicipantresponsered","correct"
"168","Subject198","554","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","157076","100010","edm","paicipantresponseblue","correct"
"169","Subject199","colorred","test","num1","typeneutral","singlestim","19","147496","100010","edc","paicipantresponsered","correct","621","success","67","success"
"170","Subject200","1748","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","85956","100010","edm","paicipantresponseblue","correct"
"171","Subject201","355","paper","67","paper","colorred","test","num1","typeneutral","singlestim","19","401871","100010","edc","paicipantresponsered","correct"
"172","Subject202","514","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","482447","100010","edm","paicipantresponseblue","correct"
"173","Subject203","350","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","108068","100010","edm","paicipantresponseblue","correct"
"174","Subject204","1192","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","59708","100010","edc","paicipantresponsered","correct"
"175","Subject205","467","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","118339","100010","edc","paicipantresponsered","correct"
"176","Subject206","1096","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","84204","100010","edm","paicipantresponseblue","correct"
"177","Subject207","364","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","100679","100010","edm","paicipantresponseblue","correct"
"178","Subject208","534","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","100838","100010","edm","paicipantresponseblue","correct"
"179","Subject209","289","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","58796","100010","edc","paicipantresponsered","correct"
"180","Subject210","633","happy","67","happy","colorred","test","num1","typepositive","singlestim","19","90018","100010","edc","paicipantresponsered","correct"
"181","Subject212","827","paper","67","paper","colorred","test","num1","typeneutral","singlestim","19","71941","100010","edc","paicipantresponsered","correct"
"182","Subject213","623","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","101512","100010","edc","paicipantresponsered","correct"
"183","Subject214","345","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","68661","100010","edc","paicipantresponsered","correct"
"184","Subject215","603","paper","77","paper","colorblue","test","num1","typeneutral","singlestim","19","74904","100010","edm","paicipantresponseblue","correct"
"185","Subject216","dead","67","dead","colorred","test","num1","typesuicide","singlestim","19","68989","100010","edc","paicipantresponsered","correct","666"
"186","Subject217","477","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","85966","100010","edc","paicipantresponsered","correct"
"187","Subject219","426","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","65107","100010","edm","paicipantresponseblue","correct"
"188","Subject220","dead","77","dead","colorblue","test","num1","typesuicide","singlestim","19","103352","100010","edm","paicipantresponseblue","correct","834"
"189","Subject221","479","rejected","77","rejected","colorblue","test","num1","typenegative","singlestim","19","83592","100010","edm","paicipantresponseblue","correct"
"190","Subject222","366","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","84737","100010","edc","paicipantresponsered","correct"
"191","Subject223","660","paper","67","paper","colorred","test","num1","typeneutral","singlestim","19","108303","100010","edc","paicipantresponsered","correct"
"192","Subject224","386","museum","77","museum","colorblue","test","num1","typeneutral","singlestim","19","81812","100010","edm","paicipantresponseblue","correct"
"193","Subject225","617","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","114853","100010","edc","paicipantresponsered","correct"
"194","Subject226","578","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","19","91894","100010","edm","paicipantresponseblue","correct"
"195","Subject227","671","pleasure","67","pleasure","colorred","test","num1","typepositive","singlestim","19","77311","100010","edc","paicipantresponsered","correct"
"196","Subject228","625","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","105629","100010","edm","paicipantresponseblue","correct"
"197","Subject229","733","success","77","success","colorblue","test","num1","typepositive","singlestim","19","108554","100010","edm","paicipantresponseblue","correct"
"198","Subject230","432","rejected","77","rejected","colorred","test","num1","typenegative","singlestim","19","92536","100010","edm","paicipantresponseblue","incorrect"
"199","Subject231","436","alone","67","alone","colorred","test","num1","typenegative","singlestim","19","88298","100010","edc","paicipantresponsered","correct"
"200","Subject232","449","engine","77","engine","colorblue","test","num1","typeneutral","singlestim","19","93335","100010","edm","paicipantresponseblue","correct"
"201","Subject233","457","funeral","67","funeral","colorred","test","num1","typesuicide","singlestim","19","76481","100010","edc","paicipantresponsered","correct"
"202","Subject234","652","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","113948","100010","edm","paicipantresponseblue","correct"
"203","Subject236","855","pleasure","77","pleasure","colorblue","test","num1","typepositive","singlestim","19","99312","100010","edm","paicipantresponseblue","correct"
"204","Subject237","807","suicide","67","suicide","colorred","test","num1","typesuicide","singlestim","19","80811","100010","edc","paicipantresponsered","correct"
"205","Subject238","356","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","19","74699","100010","edm","paicipantresponseblue","correct"
"206","Subject239","765","stupid","77","stupid","colorblue","test","num1","typenegative","singlestim","19","115957","100010","edm","paicipantresponseblue","correct"
"207","Subject240","642","funeral","77","funeral","colorblue","test","num1","typesuicide","singlestim","19","156040","100010","edm","paicipantresponseblue","correct"
"208","Subject241","568","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","113448","100010","edm","paicipantresponseblue","correct"
"209","Subject242","1105","stupid","67","stupid","colorred","test","num1","typenegative","singlestim","19","89455","100010","edc","paicipantresponsered","correct"
"210","Subject243","success","77","success","colorblue","test","num1","typepositive","singlestim","19","422560","100010","edm","paicipantresponseblue","correct","445"
"211","Subject244","success","67","success","colorred","test","num1","typepositive","singlestim","19","92659","100010","edc","paicipantresponsered","correct","841"
"212","Subject245","820","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","80855","100010","edc","paicipantresponsered","correct"
"213","Subject246","rejected","67","rejected","colorred","test","num1","typenegative","singlestim","19","82898","100010","edc","paicipantresponsered","correct","492"
"214","Subject247","2192","77","text","18","178270","101","458","table","77","table","colorblue","practice","num0","typepractice","singlestim"
"215","Subject248","486","engine","67","engine","colorred","test","num1","typeneutral","singlestim","19","70807","100010","edc","paicipantresponsered","correct"
"216","Subject249","330","success","67","success","colorred","test","num1","typepositive","singlestim","19","60153","100010","edc","paicipantresponsered","correct"
"217","Subject250","550","suicide","77","suicide","colorblue","test","num1","typesuicide","singlestim","19","140222","100010","edm","paicipantresponseblue","correct"
"218","Subject251","416","happy","77","happy","colorblue","test","num1","typepositive","singlestim","19","63119","100010","edm","paicipantresponseblue","correct"
