esid,metaid,nosleep.findings,finding,year,first.author,sampletype,country,population,study.design,follow.up.yr,study.descript,totaln,time2.n,age.m,percentfemale,comparison,data.loc,sleepSTB.compareONLY,grp.notes,basicSTB,STBconstruct,STB.measure,STBmethod,STBdichot,sleepconstruct,addtinsom.sleep,basicsleepcon,sleep.measure,sleepmethod,sleepdichot,covar.adjusted,suicgrp.tot.n,suicgrp.m,suicgrp.sd,suicgrp.percent,suicgrp.corr,suicgrp.tau,suicgrp.StdBeta,sucigrp.b,suicgrp.SE,suicgrp.R2,suicgrp.HazR,scuigrp.RiskR,suicgrp.OR,suicgrp.CI.low,suicgrp.CI.high,suicgrp.tstat,scuigrp.X2,case.n,case.m,case.sd,case.percent,case.corr,case.StdBeta,case.OR,case.HazRatio,case.CI.low,case.CI.high,case.X2,case.tstat,ctrl.n,ctrl.m,ctrl.sd,ctrl.percent,ctrl.corr,ctrl.StdBeta,ctrl.OR,ctrl.CI.low,ctrl.CI.high,ctrl.tstat,ctrl.X2,othergrp.n,othergrp.m,othergrp.sd,othergrp.percent,othergrp.corr,othergrp.StdB,othergrp.OR,othergrp.CI.low,othergrp.CI.high,othergrp.tstat,othergrp.X2,othergrp2.n,othergrp2.m,othergrp2.sd,othergrp2.percent,othergrp2.corr,othergrp2.StdBeta,othergrp2.OR,othergrp2.CI.low,othergrp2.CI.high,othergrp2.tstat,othergrp2.X2,othergrp3.n,othergrp3.m,othergrp3.sd,othergrp3.percent,othergrp3.corr,othergrp3.StdBeta,othergrp3.OR,othergrp3.CI.low,othergrp3.CI.high,othergrp3.tstat,othergrp3.X2
14,319,8,7,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,NA,NA,NA,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekend oversleep (< 0 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,0.96,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,319,8,8,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,NA,NA,NA,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekend oversleep (> 2 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,1.19,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,312,2,1,2017,Wang,Community,China,Adolescent,Cross-sectional,,,5853,NA,NA,NA,SuicGrp,SuicGrp,yes,,SI,SI,no measure,self-report,categorical,Sleep quality ,Sleep quality ,Sleep quality ,PSQI,self-report,continuous,no,,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,312,2,2,2017,Wang,Community,China,Adolescent,Cross-sectional,,,5853,NA,NA,NA,SuicGrp,SuicGrp,yes,,SA,SA,no measure,self-report,categorical,Sleep quality ,Sleep quality ,Sleep quality ,PSQI,self-report,continuous,no,,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,290,2,1,2017,Rogers,Clinical,USA,Adult,Cross-sectional,,,492,NA,26.75,64.2,SuicGrp,SuicGrp,yes,,SA,SA,BSS,self-report,categorical,Insomnia,Insomnia,Insomnia,ISI,self-report,continuous,no,,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,290,2,2,2017,Rogers,Clinical,USA,Adult,Cross-sectional,,,492,NA,26.75,64.2,SuicGrp,SuicGrp,yes,,SA,SA,BSS,self-report,categorical,Nightmares,Nightmares,Nightmares,DDNSI,self-report,continuous,no,,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,288,1,1,2017,Richardson,Military,Canada,Adult,Cross-sectional,,,6700,NA,NA,13.9,SuicGrp,SuicGrp,yes,,SI,SI,no measure,self-report,categorical,Insomnia,Insomnia,Insomnia,no measure,self-report,continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,1.85,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,287,6,1,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,NA,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep quality,Sleep quality,Sleep quality,PSQI,self-report,continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,9.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174,6.4,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,287,6,2,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,NA,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Subjective sleep quality,Sleep quality,Sleep quality,PSQI,self-report,continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174,1.1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,287,6,3,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,NA,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep latency,Sleep latency,Sleep latency,PSQI,self-report,continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174,1.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,287,6,4,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,NA,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep duration,Sleep duration,Sleep duration,PSQI,self-report,continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174,0.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,287,6,5,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,NA,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Habitual sleep efficiency,Sleep efficiency,Sleep efficiency,PSQI,self-report,continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174,1.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,287,6,6,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,NA,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep disturbances,Sleep disturbance,Sleep disturbance,PSQI,self-report,continuous,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3174,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,280,1,1,2016,Park,Clinical,Asia,Adult,Cross-sectional,,,2470,NA,48.1,NA,CaseCtrl,CaseCtrl,no,,Suicidality,suicidality,no measure,self-report,categorical,Insomnia,Insomnia,Insomnia,no measure,self-report,categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,NA,73.4,NA,NA,NA,NA,NA,NA,NA,NA,863,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,279,2,1,2016,Park Yang,Community,Korea,Adult,Cross-sectional,,,10890,NA,NA,60.11,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Normal Sleep duation (6-9 hr),Normal Sleep duation (6-9 hr),Normal Sleep duation (6-9 hr),no measure,self-report,categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208,NA,NA,58.6,NA,NA,NA,NA,NA,NA,NA,NA,9682,NA,NA,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,279,2,2,2016,Park Yang,Community,Korea,Adult,Cross-sectional,,,10890,NA,NA,60.11,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Insomnia or Hypersomnia (less 6 or greater 9),Sleep disturbance,Sleep disturbance,no measure,self-report,categorical,no,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,9682,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,267,12,1,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,NA,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Initial insomnia,Difficulty falling asleep,Insomnia,KSADS,self-report,categorical,no,,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,267,12,2,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,NA,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Middle insomnia,Difficulty maintaining sleep,Insomnia,KSADS,self-report,categorical,no,,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,267,12,3,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,NA,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Terminal Insomnia,Early morning wakening,Insomnia,KSADS,self-report,categorical,no,,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,267,12,4,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,NA,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Circadian reversal,Circadian reversal,Circadian reversal,KSADS,self-report,categorical,no,,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,267,12,5,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,NA,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Nonrestorative sleep,Nonrestorative sleep,Nonrestorative sleep,KSADS,self-report,categorical,no,,NA,NA,NA,NA,NA,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,267,12,6,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,NA,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Hypersomnia,Hypersomnia,Hypersomnia,KSADS,self-report,categorical,no,,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
