esid,ctrl.n,ctrl.sd,ctrl.m,population.x,basicsleepcon.x,metaid.x,basicSTB.x,treat.n,treat.sd,treat.m,population.y,basicsleepcon.y,metaid.y,basicSTB.y,type
24,3174,1.1,0.8,Adult,Sleep duration,287,SI,,NA,NA,Adult,Sleep duration,287,SI,suic
25,3174,1.3,1.4,Adult,Sleep efficiency,287,SI,NA,NA,NA,Adult,Sleep efficiency,287,SI,othergrp
25,3174,1.3,1.4,Adult,Sleep efficiency,287,SI,139,1.3,1.7,Adult,Sleep efficiency,287,SI,case
25,3174,1.3,1.4,Adult,Sleep efficiency,287,SI,,NA,NA,Adult,Sleep efficiency,287,SI,suic
26,3174,0.5,1,Adult,Sleep disturbance,287,SI,139,0.7,1.3,Adult,Sleep disturbance,287,SI,case
26,3174,0.5,1,Adult,Sleep disturbance,287,SI,,NA,NA,Adult,Sleep disturbance,287,SI,suic
26,3174,0.5,1,Adult,Sleep disturbance,287,SI,NA,NA,NA,Adult,Sleep disturbance,287,SI,othergrp
27,863,NA,NA,Adult,Insomnia,280,Suicidality,,NA,NA,Adult,Insomnia,280,Suicidality,suic
27,863,NA,NA,Adult,Insomnia,280,Suicidality,NA,NA,NA,Adult,Insomnia,280,Suicidality,othergrp
27,863,NA,NA,Adult,Insomnia,280,Suicidality,259,NA,NA,Adult,Insomnia,280,Suicidality,case
28,9682,NA,NA,Adult,Normal Sleep duation (6-9 hr),279,SI,1208,NA,NA,Adult,Normal Sleep duation (6-9 hr),279,SI,case
28,9682,NA,NA,Adult,Normal Sleep duation (6-9 hr),279,SI,,NA,NA,Adult,Normal Sleep duation (6-9 hr),279,SI,suic
28,9682,NA,NA,Adult,Normal Sleep duation (6-9 hr),279,SI,NA,NA,NA,Adult,Normal Sleep duation (6-9 hr),279,SI,othergrp
29,9682,NA,NA,Adult,Sleep disturbance,279,SI,1208,NA,NA,Adult,Sleep disturbance,279,SI,case
29,9682,NA,NA,Adult,Sleep disturbance,279,SI,,NA,NA,Adult,Sleep disturbance,279,SI,suic
29,9682,NA,NA,Adult,Sleep disturbance,279,SI,NA,NA,NA,Adult,Sleep disturbance,279,SI,othergrp
30,NA,NA,NA,Adolescent,Insomnia,267,SI,NA,NA,NA,Adolescent,Insomnia,267,SI,case
30,NA,NA,NA,Adolescent,Insomnia,267,SI,,NA,NA,Adolescent,Insomnia,267,SI,suic
30,NA,NA,NA,Adolescent,Insomnia,267,SI,NA,NA,NA,Adolescent,Insomnia,267,SI,othergrp
31,NA,NA,NA,Adolescent,Insomnia,267,SI,NA,NA,NA,Adolescent,Insomnia,267,SI,case
31,NA,NA,NA,Adolescent,Insomnia,267,SI,,NA,NA,Adolescent,Insomnia,267,SI,suic
31,NA,NA,NA,Adolescent,Insomnia,267,SI,NA,NA,NA,Adolescent,Insomnia,267,SI,othergrp
32,NA,NA,NA,Adolescent,Insomnia,267,SI,NA,NA,NA,Adolescent,Insomnia,267,SI,case
32,NA,NA,NA,Adolescent,Insomnia,267,SI,,NA,NA,Adolescent,Insomnia,267,SI,suic
32,NA,NA,NA,Adolescent,Insomnia,267,SI,NA,NA,NA,Adolescent,Insomnia,267,SI,othergrp
33,NA,NA,NA,Adolescent,Circadian reversal,267,SI,NA,NA,NA,Adolescent,Circadian reversal,267,SI,case
33,NA,NA,NA,Adolescent,Circadian reversal,267,SI,,NA,NA,Adolescent,Circadian reversal,267,SI,suic
33,NA,NA,NA,Adolescent,Circadian reversal,267,SI,NA,NA,NA,Adolescent,Circadian reversal,267,SI,othergrp
34,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SI,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SI,othergrp
34,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SI,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SI,case
34,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SI,,NA,NA,Adolescent,Nonrestorative sleep,267,SI,suic
35,NA,NA,NA,Adolescent,Hypersomnia,267,SI,NA,NA,NA,Adolescent,Hypersomnia,267,SI,othergrp
35,NA,NA,NA,Adolescent,Hypersomnia,267,SI,NA,NA,NA,Adolescent,Hypersomnia,267,SI,case
35,NA,NA,NA,Adolescent,Hypersomnia,267,SI,,NA,NA,Adolescent,Hypersomnia,267,SI,suic
36,NA,NA,NA,Adolescent,Insomnia,267,SA,,NA,NA,Adolescent,Insomnia,267,SA,suic
36,NA,NA,NA,Adolescent,Insomnia,267,SA,NA,NA,NA,Adolescent,Insomnia,267,SA,othergrp
36,NA,NA,NA,Adolescent,Insomnia,267,SA,NA,NA,NA,Adolescent,Insomnia,267,SA,case
37,NA,NA,NA,Adolescent,Insomnia,267,SA,NA,NA,NA,Adolescent,Insomnia,267,SA,case
37,NA,NA,NA,Adolescent,Insomnia,267,SA,,NA,NA,Adolescent,Insomnia,267,SA,suic
37,NA,NA,NA,Adolescent,Insomnia,267,SA,NA,NA,NA,Adolescent,Insomnia,267,SA,othergrp
38,NA,NA,NA,Adolescent,Insomnia,267,SA,NA,NA,NA,Adolescent,Insomnia,267,SA,case
38,NA,NA,NA,Adolescent,Insomnia,267,SA,NA,NA,NA,Adolescent,Insomnia,267,SA,othergrp
38,NA,NA,NA,Adolescent,Insomnia,267,SA,,NA,NA,Adolescent,Insomnia,267,SA,suic
39,NA,NA,NA,Adolescent,Circadian reversal,267,SA,NA,NA,NA,Adolescent,Circadian reversal,267,SA,othergrp
39,NA,NA,NA,Adolescent,Circadian reversal,267,SA,NA,NA,NA,Adolescent,Circadian reversal,267,SA,case
39,NA,NA,NA,Adolescent,Circadian reversal,267,SA,,NA,NA,Adolescent,Circadian reversal,267,SA,suic
40,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SA,,NA,NA,Adolescent,Nonrestorative sleep,267,SA,suic
40,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SA,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SA,othergrp
40,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SA,NA,NA,NA,Adolescent,Nonrestorative sleep,267,SA,case
41,NA,NA,NA,Adolescent,Hypersomnia,267,SA,NA,NA,NA,Adolescent,Hypersomnia,267,SA,othergrp
41,NA,NA,NA,Adolescent,Hypersomnia,267,SA,NA,NA,NA,Adolescent,Hypersomnia,267,SA,case
41,NA,NA,NA,Adolescent,Hypersomnia,267,SA,,NA,NA,Adolescent,Hypersomnia,267,SA,suic
42,NA,NA,NA,Adult,Sleep disturbance,266,SI,NA,NA,NA,Adult,Sleep disturbance,266,SI,case
42,NA,NA,NA,Adult,Sleep disturbance,266,SI,,NA,NA,Adult,Sleep disturbance,266,SI,suic
42,NA,NA,NA,Adult,Sleep disturbance,266,SI,NA,NA,NA,Adult,Sleep disturbance,266,SI,othergrp
43,NA,NA,NA,Adult,Sleep disturbance,266,SI,NA,NA,NA,Adult,Sleep disturbance,266,SI,case
43,NA,NA,NA,Adult,Sleep disturbance,266,SI,NA,NA,NA,Adult,Sleep disturbance,266,SI,othergrp
43,NA,NA,NA,Adult,Sleep disturbance,266,SI,,NA,NA,Adult,Sleep disturbance,266,SI,suic
44,NA,NA,NA,Adult,Sleep disturbance,266,SI,NA,NA,NA,Adult,Sleep disturbance,266,SI,case
44,NA,NA,NA,Adult,Sleep disturbance,266,SI,,NA,NA,Adult,Sleep disturbance,266,SI,suic
44,NA,NA,NA,Adult,Sleep disturbance,266,SI,NA,NA,NA,Adult,Sleep disturbance,266,SI,othergrp
45,NA,NA,NA,Adult,Sleep disturbance,266,SA,NA,NA,NA,Adult,Sleep disturbance,266,SA,case
45,NA,NA,NA,Adult,Sleep disturbance,266,SA,NA,NA,NA,Adult,Sleep disturbance,266,SA,othergrp
45,NA,NA,NA,Adult,Sleep disturbance,266,SA,,NA,NA,Adult,Sleep disturbance,266,SA,suic
46,NA,NA,NA,Adult,Sleep disturbance,266,SA,NA,NA,NA,Adult,Sleep disturbance,266,SA,case
46,NA,NA,NA,Adult,Sleep disturbance,266,SA,,NA,NA,Adult,Sleep disturbance,266,SA,suic
46,NA,NA,NA,Adult,Sleep disturbance,266,SA,NA,NA,NA,Adult,Sleep disturbance,266,SA,othergrp
47,NA,NA,NA,Adult,Insomnia,255,SI,NA,NA,NA,Adult,Insomnia,255,SI,case
47,NA,NA,NA,Adult,Insomnia,255,SI,NA,NA,NA,Adult,Insomnia,255,SI,othergrp
47,NA,NA,NA,Adult,Insomnia,255,SI,,NA,NA,Adult,Insomnia,255,SI,suic
48,NA,NA,NA,Adult,Insomnia,255,SI,NA,NA,NA,Adult,Insomnia,255,SI,othergrp
48,NA,NA,NA,Adult,Insomnia,255,SI,NA,NA,NA,Adult,Insomnia,255,SI,case
48,NA,NA,NA,Adult,Insomnia,255,SI,,NA,NA,Adult,Insomnia,255,SI,suic
49,NA,NA,NA,Adult,Insomnia,255,SI,NA,NA,NA,Adult,Insomnia,255,SI,case
49,NA,NA,NA,Adult,Insomnia,255,SI,,NA,NA,Adult,Insomnia,255,SI,suic
49,NA,NA,NA,Adult,Insomnia,255,SI,NA,NA,NA,Adult,Insomnia,255,SI,othergrp
50,NA,NA,NA,Adult,Sleep disturbance,248,SI,497,NA,NA,Adult,Sleep disturbance,248,SI,suic
50,NA,NA,NA,Adult,Sleep disturbance,248,SI,NA,NA,NA,Adult,Sleep disturbance,248,SI,case
50,NA,NA,NA,Adult,Sleep disturbance,248,SI,NA,NA,NA,Adult,Sleep disturbance,248,SI,othergrp
51,NA,NA,NA,Adult,Sleep disturbance,248,,NA,NA,NA,Adult,Sleep disturbance,248,,othergrp
51,NA,NA,NA,Adult,Sleep disturbance,248,,93,NA,NA,Adult,Sleep disturbance,248,,suic
51,NA,NA,NA,Adult,Sleep disturbance,248,,NA,NA,NA,Adult,Sleep disturbance,248,,case
52,NA,NA,NA,Adult,Sleep disturbance,248,SA,93,NA,NA,Adult,Sleep disturbance,248,SA,suic
52,NA,NA,NA,Adult,Sleep disturbance,248,SA,NA,NA,NA,Adult,Sleep disturbance,248,SA,case
52,NA,NA,NA,Adult,Sleep disturbance,248,SA,NA,NA,NA,Adult,Sleep disturbance,248,SA,othergrp
53,NA,NA,NA,Adult,Sleep apnea,244,SI,NA,NA,NA,Adult,Sleep apnea,244,SI,case
53,NA,NA,NA,Adult,Sleep apnea,244,SI,5498,NA,NA,Adult,Sleep apnea,244,SI,suic
53,NA,NA,NA,Adult,Sleep apnea,244,SI,NA,NA,NA,Adult,Sleep apnea,244,SI,othergrp
54,115,NA,NA,Adult,Poor sleep,243,SA,,NA,NA,Adult,Poor sleep,243,SA,suic
54,115,NA,NA,Adult,Poor sleep,243,SA,NA,NA,NA,Adult,Poor sleep,243,SA,othergrp
54,115,NA,NA,Adult,Poor sleep,243,SA,35,NA,NA,Adult,Poor sleep,243,SA,case
55,8170,NA,NA,Adult,Insomnia,240,SI,,NA,NA,Adult,Insomnia,240,SI,suic
55,8170,NA,NA,Adult,Insomnia,240,SI,NA,NA,NA,Adult,Insomnia,240,SI,othergrp
55,8170,NA,NA,Adult,Insomnia,240,SI,324,NA,NA,Adult,Insomnia,240,SI,case
56,NA,NA,NA,Adolescent,Sleep duration,232,SI,,NA,NA,Adolescent,Sleep duration,232,SI,suic
56,NA,NA,NA,Adolescent,Sleep duration,232,SI,NA,NA,NA,Adolescent,Sleep duration,232,SI,othergrp
56,NA,NA,NA,Adolescent,Sleep duration,232,SI,NA,NA,NA,Adolescent,Sleep duration,232,SI,case
57,NA,NA,NA,Adolescent,Sleep duration,232,SI,NA,NA,NA,Adolescent,Sleep duration,232,SI,case
57,NA,NA,NA,Adolescent,Sleep duration,232,SI,NA,NA,NA,Adolescent,Sleep duration,232,SI,othergrp
57,NA,NA,NA,Adolescent,Sleep duration,232,SI,,NA,NA,Adolescent,Sleep duration,232,SI,suic
58,NA,NA,NA,Adolescent,Sleep duration,232,SI,,NA,NA,Adolescent,Sleep duration,232,SI,suic
58,NA,NA,NA,Adolescent,Sleep duration,232,SI,NA,NA,NA,Adolescent,Sleep duration,232,SI,case
58,NA,NA,NA,Adolescent,Sleep duration,232,SI,NA,NA,NA,Adolescent,Sleep duration,232,SI,othergrp
59,NA,NA,NA,Adolescent,Sleep duration,232,SA,,NA,NA,Adolescent,Sleep duration,232,SA,suic
59,NA,NA,NA,Adolescent,Sleep duration,232,SA,NA,NA,NA,Adolescent,Sleep duration,232,SA,othergrp
59,NA,NA,NA,Adolescent,Sleep duration,232,SA,NA,NA,NA,Adolescent,Sleep duration,232,SA,case
60,NA,NA,NA,Adolescent,Sleep duration,232,SA,NA,NA,NA,Adolescent,Sleep duration,232,SA,othergrp
60,NA,NA,NA,Adolescent,Sleep duration,232,SA,NA,NA,NA,Adolescent,Sleep duration,232,SA,case
60,NA,NA,NA,Adolescent,Sleep duration,232,SA,,NA,NA,Adolescent,Sleep duration,232,SA,suic
61,NA,NA,NA,Adolescent,Sleep duration,232,SA,NA,NA,NA,Adolescent,Sleep duration,232,SA,othergrp
61,NA,NA,NA,Adolescent,Sleep duration,232,SA,NA,NA,NA,Adolescent,Sleep duration,232,SA,case
61,NA,NA,NA,Adolescent,Sleep duration,232,SA,,NA,NA,Adolescent,Sleep duration,232,SA,suic
62,38,NA,74.1,Adult,Sleep disorder,225,SI,50,NA,NA,Adult,Sleep disorder,225,SI,case
62,38,NA,74.1,Adult,Sleep disorder,225,SI,,NA,NA,Adult,Sleep disorder,225,SI,suic
62,38,NA,74.1,Adult,Sleep disorder,225,SI,NA,NA,NA,Adult,Sleep disorder,225,SI,othergrp
63,38,NA,89.5,Adult,No sleep disorder,225,SI,,NA,NA,Adult,No sleep disorder,225,SI,suic
63,38,NA,89.5,Adult,No sleep disorder,225,SI,50,NA,NA,Adult,No sleep disorder,225,SI,case
63,38,NA,89.5,Adult,No sleep disorder,225,SI,NA,NA,NA,Adult,No sleep disorder,225,SI,othergrp
64,5887,NA,13,Adult,Insomnia,209,SI,NA,NA,NA,Adult,Insomnia,209,SI,othergrp
64,5887,NA,13,Adult,Insomnia,209,SI,,NA,NA,Adult,Insomnia,209,SI,suic
64,5887,NA,13,Adult,Insomnia,209,SI,154,NA,NA,Adult,Insomnia,209,SI,case
65,5887,NA,4,Adult,Hypersomnia,209,SI,,NA,NA,Adult,Hypersomnia,209,SI,suic
65,5887,NA,4,Adult,Hypersomnia,209,SI,154,NA,NA,Adult,Hypersomnia,209,SI,case
65,5887,NA,4,Adult,Hypersomnia,209,SI,NA,NA,NA,Adult,Hypersomnia,209,SI,othergrp
66,NA,NA,NA,Adult,Insomnia,183,Suicidality,NA,NA,NA,Adult,Insomnia,183,Suicidality,case
66,NA,NA,NA,Adult,Insomnia,183,Suicidality,,NA,NA,Adult,Insomnia,183,Suicidality,suic
66,NA,NA,NA,Adult,Insomnia,183,Suicidality,NA,NA,NA,Adult,Insomnia,183,Suicidality,othergrp
67,NA,NA,NA,Adult,Insomnia,183,SA,,NA,NA,Adult,Insomnia,183,SA,suic
67,NA,NA,NA,Adult,Insomnia,183,SA,NA,NA,NA,Adult,Insomnia,183,SA,othergrp
67,NA,NA,NA,Adult,Insomnia,183,SA,NA,NA,NA,Adult,Insomnia,183,SA,case
68,NA,NA,NA,Adult,Nightmares,183,Suicidality,,NA,NA,Adult,Nightmares,183,Suicidality,suic
68,NA,NA,NA,Adult,Nightmares,183,Suicidality,NA,NA,NA,Adult,Nightmares,183,Suicidality,othergrp
68,NA,NA,NA,Adult,Nightmares,183,Suicidality,NA,NA,NA,Adult,Nightmares,183,Suicidality,case
69,NA,NA,NA,Adult,Nightmares,183,SA,,NA,NA,Adult,Nightmares,183,SA,suic
69,NA,NA,NA,Adult,Nightmares,183,SA,NA,NA,NA,Adult,Nightmares,183,SA,othergrp
69,NA,NA,NA,Adult,Nightmares,183,SA,NA,NA,NA,Adult,Nightmares,183,SA,case
70,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,othergrp
70,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,case
70,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,,NA,NA,Adult,Sleep efficiency,183,Suicidality,suic
71,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,,NA,NA,Adult,Wake after sleep onset,183,Suicidality,suic
71,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,othergrp
71,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,case
72,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,,NA,NA,Adult,Sleep-onset latency,183,Suicidality,suic
72,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,othergrp
72,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,case
73,NA,NA,NA,Adult,Total sleep time,183,Suicidality,,NA,NA,Adult,Total sleep time,183,Suicidality,suic
73,NA,NA,NA,Adult,Total sleep time,183,Suicidality,NA,NA,NA,Adult,Total sleep time,183,Suicidality,othergrp
73,NA,NA,NA,Adult,Total sleep time,183,Suicidality,NA,NA,NA,Adult,Total sleep time,183,Suicidality,case
74,NA,NA,NA,Adult,Sleep variability,183,Suicidality,NA,NA,NA,Adult,Sleep variability,183,Suicidality,othergrp
74,NA,NA,NA,Adult,Sleep variability,183,Suicidality,NA,NA,NA,Adult,Sleep variability,183,Suicidality,case
74,NA,NA,NA,Adult,Sleep variability,183,Suicidality,,NA,NA,Adult,Sleep variability,183,Suicidality,suic
75,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,case
75,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,othergrp
75,NA,NA,NA,Adult,Sleep efficiency,183,Suicidality,,NA,NA,Adult,Sleep efficiency,183,Suicidality,suic
76,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,othergrp
76,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,,NA,NA,Adult,Wake after sleep onset,183,Suicidality,suic
76,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,NA,NA,NA,Adult,Wake after sleep onset,183,Suicidality,case
77,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,,NA,NA,Adult,Sleep-onset latency,183,Suicidality,suic
77,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,case
77,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,NA,NA,NA,Adult,Sleep-onset latency,183,Suicidality,othergrp
78,NA,NA,NA,Adult,Total sleep time,183,Suicidality,NA,NA,NA,Adult,Total sleep time,183,Suicidality,case
