esid,metaid,nosleep.findings,finding,year,first.author,sampletype,country,population,study.design,follow.up.yr,study.descript,totaln,time2.n,age.m,percentfemale,comparison,data.loc,sleepSTB.compareONLY,grp.notes,basicSTB,STBconstruct,STB.measure,STBmethod,STBdichot,sleepconstruct,addtinsom.sleep,basicsleepcon,sleep.measure,sleepmethod,sleepdichot,covar.adjusted,suicgrp.tot.n,suicgrp.m,suicgrp.sd,suicgrp.percent,suicgrp.corr,suicgrp.tau,suicgrp.StdBeta,sucigrp.b,suicgrp.SE,suicgrp.R2,suicgrp.HazR,scuigrp.RiskR,suicgrp.OR,suicgrp.CI.low,suicgrp.CI.high,suicgrp.tstat,scuigrp.X2,case.n,case.m,case.sd,case.percent,case.corr,case.StdBeta,case.OR,case.HazRatio,case.CI.low,case.CI.high,case.X2,case.tstat,ctrl.n,ctrl.m,ctrl.sd,ctrl.percent,ctrl.corr,ctrl.StdBeta,ctrl.OR,ctrl.CI.low,ctrl.CI.high,ctrl.tstat,ctrl.X2,othergrp.n,othergrp.m,othergrp.sd,othergrp.percent,othergrp.corr,othergrp.StdB,othergrp.OR,othergrp.CI.low,othergrp.CI.high,othergrp.tstat,othergrp.X2,othergrp2.n,othergrp2.m,othergrp2.sd,othergrp2.percent,othergrp2.corr,othergrp2.StdBeta,othergrp2.OR,othergrp2.CI.low,othergrp2.CI.high,othergrp2.tstat,othergrp2.X2,othergrp3.n,othergrp3.m,othergrp3.sd,othergrp3.percent,othergrp3.corr,othergrp3.StdBeta,othergrp3.OR,othergrp3.CI.low,othergrp3.CI.high,othergrp3.tstat,othergrp3.X2
14,319,8,7,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekend oversleep (< 0 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,1.34,0.96,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,319,8,8,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekend oversleep (> 2 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,1.75,1.19,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,312,2,1,2017,Wang,Community,China,Adolescent,Cross-sectional,,,5853,,,,SuicGrp,SuicGrp,yes,,SI,SI,no measure,self-report,categorical,Sleep quality ,Sleep quality ,Sleep quality ,PSQI,self-report,continuous,no,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,312,2,2,2017,Wang,Community,China,Adolescent,Cross-sectional,,,5853,,,,SuicGrp,SuicGrp,yes,,SA,SA,no measure,self-report,categorical,Sleep quality ,Sleep quality ,Sleep quality ,PSQI,self-report,continuous,no,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,290,2,1,2017,Rogers,Clinical,USA,Adult,Cross-sectional,,,492,,26.75,64.2,SuicGrp,SuicGrp,yes,,SA,SA,BSS,self-report,categorical,Insomnia,Insomnia,Insomnia,ISI,self-report,continuous,no,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,290,2,2,2017,Rogers,Clinical,USA,Adult,Cross-sectional,,,492,,26.75,64.2,SuicGrp,SuicGrp,yes,,SA,SA,BSS,self-report,categorical,Nightmares,Nightmares,Nightmares,DDNSI,self-report,continuous,no,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,288,1,1,2017,Richardson,Military,Canada,Adult,Cross-sectional,,,6700,,,13.9,SuicGrp,SuicGrp,yes,,SI,SI,no measure,self-report,categorical,Insomnia,Insomnia,Insomnia,no measure,self-report,continuous,no,,,,,,,,,,,,,2.05,1.85,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,287,6,1,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep quality,Sleep quality,Sleep quality,PSQI,self-report,continuous,no,,,,,,,,,,,,,,,,,,139,9.6,5.3,,,,,,,,,,3174,6.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,287,6,2,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Subjective sleep quality,Sleep quality,Sleep quality,PSQI,self-report,continuous,no,,,,,,,,,,,,,,,,,,139,1.7,1,,,,,,,,,,3174,1.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,287,6,3,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep latency,Sleep latency,Sleep latency,PSQI,self-report,continuous,no,,,,,,,,,,,,,,,,,,139,2,1.2,,,,,,,,,,3174,1.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,287,6,4,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep duration,Sleep duration,Sleep duration,PSQI,self-report,continuous,no,,,,,,,,,,,,,,,,,,139,1.2,1.3,,,,,,,,,,3174,0.8,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,287,6,5,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Habitual sleep efficiency,Sleep efficiency,Sleep efficiency,PSQI,self-report,continuous,no,,,,,,,,,,,,,,,,,,139,1.7,1.3,,,,,,,,,,3174,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,287,6,6,2017,Qian,Community,China,Adult,Cross-sectional,,,3313,,68.76,55.8,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Sleep disturbances,Sleep disturbance,Sleep disturbance,PSQI,self-report,continuous,no,,,,,,,,,,,,,,,,,,139,1.3,0.7,,,,,,,,,,3174,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,280,1,1,2016,Park,Clinical,Asia,Adult,Cross-sectional,,,2470,,48.1,,CaseCtrl,CaseCtrl,no,,Suicidality,suicidality,no measure,self-report,categorical,Insomnia,Insomnia,Insomnia,no measure,self-report,categorical,no,,,,,,,,,,,,,,,,,,259,,,73.4,,,,,,,,,863,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,279,2,1,2016,Park Yang,Community,Korea,Adult,Cross-sectional,,,10890,,,60.11,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Normal Sleep duation (6-9 hr),Normal Sleep duation (6-9 hr),Normal Sleep duation (6-9 hr),no measure,self-report,categorical,no,,,,,,,,,,,,,,,,,,1208,,,58.6,,,,,,,,,9682,,,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,279,2,2,2016,Park Yang,Community,Korea,Adult,Cross-sectional,,,10890,,,60.11,CaseCtrl,CaseCtrl,no,,SI,SI,no measure,self-report,categorical,Insomnia or Hypersomnia (less 6 or greater 9),Sleep disturbance,Sleep disturbance,no measure,self-report,categorical,no,,,,,,,,,,,,,,,,,,1208,,,41.1,,,,,,,,,9682,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,267,12,1,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Initial insomnia,Difficulty falling asleep,Insomnia,KSADS,self-report,categorical,no,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,267,12,2,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Middle insomnia,Difficulty maintaining sleep,Insomnia,KSADS,self-report,categorical,no,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,267,12,3,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Terminal Insomnia,Early morning wakening,Insomnia,KSADS,self-report,categorical,no,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,267,12,4,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Circadian reversal,Circadian reversal,Circadian reversal,KSADS,self-report,categorical,no,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,267,12,5,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Nonrestorative sleep,Nonrestorative sleep,Nonrestorative sleep,KSADS,self-report,categorical,no,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,267,12,6,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SI,SI,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Hypersomnia,Hypersomnia,Hypersomnia,KSADS,self-report,categorical,no,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,267,12,7,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SA,SA,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Initial insomnia,Difficulty falling asleep,Insomnia,KSADS,self-report,categorical,no,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,267,12,8,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SA,SA,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Middle insomnia,Difficulty maintaining sleep,Insomnia,KSADS,self-report,categorical,no,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,267,12,9,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SA,SA,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Terminal Insomnia,Early morning wakening,Insomnia,KSADS,self-report,categorical,no,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,267,12,10,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SA,SA,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Circadian reversal,Circadian reversal,Circadian reversal,KSADS,self-report,categorical,no,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,267,12,11,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SA,SA,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Nonrestorative sleep,Nonrestorative sleep,Nonrestorative sleep,KSADS,self-report,categorical,no,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,267,12,12,2017,McGlinchley,Clinical,USA,Adolescent,Cross-sectional,,,223,,14.93,72,SuicGrp,SuicGrp,yes,,SA,SA,Brief Assessment of Adolescent Suicide & Self-Injury ,self-report,continuous,Hypersomnia,Hypersomnia,Hypersomnia,KSADS,self-report,categorical,no,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,266,5,1,2017,McDonald,Community,UK,Adult,Cross-sectional,,,3299,,,49.3,SuicGrp,SuicGrp,yes,,SI,Past week SI,no measure,self-report,categorical,Insomnia or Hypersomnia,Sleep disturbance,Sleep disturbance,no measure,self-report,categorical,yes,,,,,,,,,,,,,5,2.1,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,266,5,2,2017,McDonald,Community,UK,Adult,Cross-sectional,,,3299,,,49.3,SuicGrp,SuicGrp,yes,,SI,Past year SI,no measure,self-report,categorical,Insomnia or Hypersomnia,Sleep disturbance,Sleep disturbance,no measure,self-report,categorical,yes,,,,,,,,,,,,,3.1,2.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,266,5,3,2017,McDonald,Community,UK,Adult,Cross-sectional,,,3299,,,49.3,SuicGrp,SuicGrp,yes,,SI,Lifetime SI,no measure,self-report,categorical,Insomnia or Hypersomnia,Sleep disturbance,Sleep disturbance,no measure,self-report,categorical,yes,,,,,,,,,,,,,2.2,1.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,266,5,4,2017,McDonald,Community,UK,Adult,Cross-sectional,,,3299,,,49.3,SuicGrp,SuicGrp,yes,,SA,Past year SA,no measure,self-report,categorical,Insomnia or Hypersomnia,Sleep disturbance,Sleep disturbance,no measure,self-report,categorical,yes,,,,,,,,,,,,,1.1,0.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,266,5,5,2017,McDonald,Community,UK,Adult,Cross-sectional,,,3299,,,49.3,SuicGrp,SuicGrp,yes,,SA,Lifetime SA,no measure,self-report,categorical,Insomnia or Hypersomnia,Sleep disturbance,Sleep disturbance,no measure,self-report,categorical,yes,,,,,,,,,,,,,2.1,1.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,255,3,1,2010,Lee,Community,China,Adult,Cross-sectional,,,2054,,,51.2,SuicGrp,SuicGrp,yes,,SI,Past year SI,no measure,Interview,Unclear,Insomnia,Insomnia,Insomnia,BSRS-5 ,self-report,continuous,no,,,,,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,255,3,2,2010,Lee,Community,China,Adult,Cross-sectional,,,2054,,,51.2,SuicGrp,SuicGrp,yes,,SI,Past week SI,no measure,Interview,Unclear,Insomnia,Insomnia,Insomnia,BSRS-5 ,self-report,continuous,no,,,,,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,255,3,3,2010,Lee,Community,China,Adult,Cross-sectional,,,2054,,,51.2,SuicGrp,SuicGrp,yes,,SI,Lifetime SI,no measure,Interview,Unclear,Insomnia,Insomnia,Insomnia,BSRS-5 ,self-report,continuous,no,,,,,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,248,3,1,2017,Kim,Community,Korea,Adult,Cross-sectional,,,3212,,,,SuicGrp,SuicGrp,yes,,SI,SI,no measure,Self-report,categorical,sleep disturbance,Sleep disturbance,Sleep disturbance,no measure,self-report,continuous,no,497,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,248,3,2,2017,Kim,Community,Korea,Adult,Cross-sectional,,,3212,,,,SuicGrp,SuicGrp,yes,,,SP,no measure,Self-report,categorical,sleep disturbance,Sleep disturbance,Sleep disturbance,no measure,self-report,continuous,no,93,,,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,248,3,3,2017,Kim,Community,Korea,Adult,Cross-sectional,,,3212,,,,SuicGrp,SuicGrp,yes,,SA,SA,no measure,Self-report,categorical,sleep disturbance,Sleep disturbance,Sleep disturbance,no measure,self-report,continuous,no,93,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,244,1,1,2017,Kaufmann,Community,USA,Adult,Cross-sectional,,,264653,,,51.9,SuicGrp,SuicGrp,yes,,SI,Past year SI,no measure,Self-report,categorical,Sleep apnea,Sleep apnea,Sleep apnea,no measure,self-report,categorical,yes ,5498,,,8.3,,,,,,,,,2.75,2.34,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,243,1,1,2017,Kattimani,Clinical,India,Adult,Cross-sectional,,,150,,37.8,52,CaseCtrl,CaseCtrl,no,,SA,Lifetime SA,Columbia Suicide Severity Rating Scale ,Interview,Categorical,Poor sleep,Poor sleep,Poor sleep,PSQI,self-report,categorical,no,,,,,,,,,,,,,,,,,,35,,,77.1,,,,,,,,,115,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,240,1,1,2017,Kang,Community,South Korea,Adult,Cross-sectional,,,14019,,,48.3,CaseCtrl,CaseCtrl,no,,SI,Past year SI,no measure,Self-report,Categorical,Insomnia,Insomnia,Insomnia,ISI,self-report,categorical,no,,,,,,,,,,,,,,,,,,324,,,3.8,,,,,,,,,8170,,,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,232,8,1,2017,Guo,Community,China,Adolescent,Cross-sectional,,,20130,,16.3,54.6,SuicGrp,SuicGrp,yes,compared to 7-9  hours,SI,SI,no measure,Self-report,Categorical,Sleep duration: Less than 5 hours,Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,2.28,1.96,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,232,8,2,2017,Guo,Community,China,Adolescent,Cross-sectional,,,20130,,16.3,54.6,SuicGrp,SuicGrp,yes,compared to 7-9  hours,SI,SI,no measure,Self-report,Categorical,Sleep duration: 5-7 hours,Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,1.59,1.45,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,232,8,4,2017,Guo,Community,China,Adolescent,Cross-sectional,,,20130,,16.3,54.6,SuicGrp,SuicGrp,yes,compared to 7-9  hours,SI,SI,no measure,Self-report,Categorical,Sleep duration: greater than 9 hours,Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,0.95,0.74,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
