,treat.n,treat.sd,treat.m,population,basicsleepcon,esid,metaid,basicSTB,type
79,NA,NA,NA,Adult,Sleep variability,79,183,Suicidality,case
80,2674,NA,NA,Adult,Sleep disorder,80,171,SD,case
81,NA,NA,NA,Adolescent,Insomnia,81,166,SI,case
82,NA,NA,NA,Adolescent,Insomnia,82,166,SP,case
83,NA,NA,NA,Adolescent,Insomnia,83,166,SA,case
84,NA,NA,NA,Adolescent,Insomnia,84,166,SI,case
85,NA,NA,NA,Adolescent,Insomnia,85,166,SP,case
86,NA,NA,NA,Adolescent,Insomnia,86,166,SA,case
87,NA,NA,NA,Adolescent,Insomnia,87,166,SI,case
88,NA,NA,NA,Adolescent,Insomnia,88,166,SP,case
89,NA,NA,NA,Adolescent,Insomnia,89,166,SA,case
90,NA,NA,NA,Adolescent,Insomnia,90,166,SI,case
91,NA,NA,NA,Adolescent,Insomnia,91,166,SP,case
92,NA,NA,NA,Adolescent,Insomnia,92,166,SA,case
93,NA,NA,NA,Adult,Sleep quality,93,157,Suicidality,case
94,60,2.98,7.73,Adult,Sleep quality,94,156,SI,case
95,NA,NA,NA,Adult,No nightmares,95,152,SD,case
96,NA,NA,NA,Adult,Nightmares,96,152,SD,case
97,NA,NA,NA,Adult,Nightmares,97,152,SD,case
98,NA,NA,NA,Adolescent Adult,Sleep disturbance,98,151,SA,case
99,388,NA,NA,Adolescent Adult,Insomnia,99,149,SD,case
100,388,NA,NA,Adolescent Adult,Insomnia,100,149,SD,case
101,388,NA,NA,Adolescent Adult,Insomnia,101,149,SD,case
102,388,NA,NA,Adolescent Adult,Insomnia,102,149,SD,case
103,NA,NA,NA,Adult,Insomnia,103,140,SI,case
104,8,NA,NA,Adult,Insomnia,104,139,SA,case
105,21,47.2,433,Adult,Time recording,105,136,SA,case
106,21,92.5,355,Adult,Total sleep time,106,136,SA,case
107,21,53.1,47.1,Adult,Sleep latency,107,136,SA,case
108,21,97,50.9,Adult,Awake,108,136,SA,case
109,21,1.3,0.4,Adult,Awake,109,136,SA,case
110,21,30.9,19.2,Adult,Awake,110,136,SA,case
111,21,19.8,87.5,Adult,Sleep maintenance,111,136,SA,case
112,21,21.5,78.4,Adult,Sleep efficiency,112,136,SA,case
113,21,5.6,7.1,Adult,Stage 1,113,136,SA,case
114,21,9,60.2,Adult,Stage 2,114,136,SA,case
115,21,6.5,6.4,Adult,Stage 3 ,115,136,SA,case
116,21,5.9,4,Adult,Stage 4,116,136,SA,case
117,21,11.5,10.4,Adult,Delta,117,136,SA,case
118,21,28.8,758,Adult,REM,118,136,SA,case
119,21,1,3,Adult,REM,119,136,SA,case
120,21,7.5,21.8,Adult,REM,120,136,SA,case
121,21,62.8,115.4,Adult,REM,121,136,SA,case
122,21,34.2,69.8,Adult,REM,122,136,SA,case
123,21,25.1,49.3,Adult,REM,123,136,SA,case
124,21,0.6,1.4,Adult,REM,124,136,SA,case
125,21,0.1,0.3,Adult,REM,125,136,SA,case
126,21,9.4,19,Adult,REM,126,136,SA,case
127,21,17.7,26.8,Adult,REM,127,136,SA,case
128,21,0.5,1.3,Adult,REM,128,136,SA,case
129,21,12,25.4,Adult,REM,129,136,SA,case
130,21,19.4,36.8,Adult,REM,130,136,SA,case
131,21,0.6,1.4,Adult,REM,131,136,SA,case
132,21,11.5,27.1,Adult,REM,132,136,SA,case
133,21,29.5,43.6,Adult,REM,133,136,SA,case
134,21,0.7,1.5,Adult,REM,134,136,SA,case
135,21,9.6,20.8,Adult,REM,135,136,SA,case
136,21,27.1,34,Adult,REM,136,136,SA,case
137,21,0.6,1.5,Adult,REM,137,136,SA,case
138,21,442.6,645.3,Adult,REM,138,136,SA,case
139,21,142.1,167.9,Adult,REM,139,136,SA,case
140,21,14.2,212.5,Adult,REM,140,136,SA,case
141,21,178.8,212.3,Adult,REM,141,136,SA,case
142,21,181.3,189.2,Adult,REM,142,136,SA,case
143,21,4.4,8.9,Adult,REM,143,136,SA,case
144,21,4.3,7.7,Adult,REM,144,136,SA,case
145,21,5.3,8.4,Adult,REM,145,136,SA,case
146,21,5.7,8,Adult,REM,146,136,SA,case
147,21,5.3,7.9,Adult,REM,147,136,SA,case
148,21,4722.1,6802.6,Adult,REM,148,136,SA,case
149,21,3412.3,2048.2,Adult,REM,149,136,SA,case
150,21,1861.8,2318.8,Adult,REM,150,136,SA,case
151,21,723.1,1118.4,Adult,REM,151,136,SA,case
152,21,599.7,54.5,Adult,REM,152,136,SA,case
153,21,16.1,26.5,Adult,REM,153,136,SA,case
154,21,23,34.3,Adult,REM,154,136,SA,case
155,21,21.3,30.5,Adult,REM,155,136,SA,case
156,21,11.4,18.9,Adult,REM,156,136,SA,case
157,21,9.5,12.5,Adult,REM,157,136,SA,case
158,21,1.3,1.5,Adult,REM,158,136,SA,case
159,NA,NA,NA,Adult,Insomnia,159,135,SA,case
160,NA,NA,NA,Adult,Nightmares,160,135,SA,case
161,NA,NA,NA,Adult,Insomnia,161,135,SA,case
162,NA,NA,NA,Adult,Nightmares,162,135,SA,case
163,NA,NA,NA,Adult,Insomnia,163,113,Suicidality,case
164,NA,NA,NA,Adult,Nightmares,164,113,Suicidality,case
165,NA,NA,NA,Adult,Insomnia,165,108,Suicidality,case
166,NA,NA,NA,Adult,Total sleep time,166,108,Suicidality,case
167,NA,NA,NA,Adult,Insomnia,167,64,SA,case
168,NA,NA,NA,Adult,Insomnia,168,64,SA,case
169,NA,NA,NA,Adult,Insomnia,169,65,Suicidality,case
170,NA,NA,NA,Adult,Nightmares,170,65,Suicidality,case
171,NA,NA,NA,Adult,Insomnia,171,67,Suicidality,case
172,NA,NA,NA,Adult,Insomnia,172,67,Suicidality,case
173,NA,NA,NA,Adult,Insomnia,173,67,Suicidality,case
174,NA,NA,NA,Adult,Insomnia,174,68,Suicidality,case
175,NA,NA,NA,Adult,Insomnia,175,69,SD,case
176,186,0.86,6.4,Adolescent,Sleep duration,176,72,SI,case
177,35,NA,NA,Adult,Sleep quality ,177,75,SA,case
178,NA,NA,NA,Adolescent,Sleep duration,178,80,SI,case
179,NA,NA,NA,Adolescent,Sleep duration,179,80,SI,case
180,NA,NA,NA,Adolescent,Sleep duration,180,80,SI,case
181,NA,NA,NA,Adult,Nightmares,181,88,Suicidality,case
182,NA,NA,NA,Adult,Insomnia,182,88,Suicidality,case
183,NA,NA,NA,Adult,Total sleep time,183,93,SI,case
184,NA,NA,NA,Adult,Total sleep time,184,93,SI,case
185,NA,NA,NA,Adult,Sleep efficiency,185,93,SI,case
186,NA,NA,NA,Adult,Sleep efficiency,186,93,SI,case
187,NA,NA,NA,Adult,Sleep onset latency,187,93,SI,case
188,NA,NA,NA,Adult,Sleep onset latency,188,93,SI,case
189,NA,NA,NA,Adult,Sleep quality,189,93,SI,case
190,19,0.88,3.37,Adult,REM,190,77,Suicidality,case
191,19,27.54,54.82,Adult,REM,191,77,Suicidality,case
192,19,91,24.55,Adult,REM,192,77,Suicidality,case
193,19,78.82,151.18,Adult,REM,193,77,Suicidality,case
194,19,0.7,1.69,Adult,REM,194,77,Suicidality,case
195,19,7.75,21,Adult,REM,195,77,Suicidality,case
196,19,37.11,39.29,Adult,REM,196,77,Suicidality,case
197,19,0.85,1.65,Adult,REM,197,77,Suicidality,case
198,75,NA,NA,Adult,Insomnia,198,92,SA,case
199,35,NA,NA,Adult,Nightmares,199,92,SA,case
200,NA,NA,NA,Adult,Insomnia,200,92,SA,case
201,NA,NA,NA,Adult,Insomnia + Nightmares,201,92,SA,case
202,NA,NA,NA,Adult,REM,202,90,SA,case
203,NA,NA,NA,Adult,REM,203,90,SA,case
204,NA,NA,NA,Adult,REM,204,90,SA,case
205,NA,NA,NA,Adult,Slow wave sleep,205,90,SA,case
206,NA,NA,NA,Adult,Baseline cortisol,206,90,SA,case
207,NA,NA,NA,Adolescent,Insomnia,207,130,SI,case
208,NA,NA,NA,Adolescent,Insomnia,208,130,SA,case
209,NA,NA,NA,Adolescent,Insomnia,209,130,SA,case
210,NA,NA,NA,Adult,Sleep disturbance,210,121,SD,case
211,56,3.91,14.48,Adult,Sleep quality,211,70,SA,case
212,63,NA,NA,Adult,Sleep Disorder,212,169,SI,case
213,32,NA,NA,Adult,Insomnia,213,169,SI,case
214,NA,NA,NA,Adolescent Adult,Sleep duration,214,61,SI,case
215,NA,NA,NA,Adolescent Adult,Sleep duration,215,61,SA,case
216,NA,NA,NA,Adolescent Adult,Sleep duration,216,61,SI,case
217,NA,NA,NA,Adolescent Adult,Sleep duration,217,61,SA,case
218,13,18.8,56.6,Adult,REM,218,3,SI,case
219,13,5.9,22.6,Adult,REM,219,3,SI,case
220,13,0.8,4.1,Adult,REM,220,3,SI,case
221,13,7.6,17.7,Adult,Slow wave sleep,221,3,SI,case
222,13,29.1,69.2,Adult,Slow wave sleep,222,3,SI,case
223,13,31.1,394.3,Adult,Total Sleep Time,223,3,SI,case
224,13,0.8,0.93,Adult,Sleep efficiency,224,3,SI,case
225,13,NA,NA,Adult,Dreams,225,3,SI,case
226,13,NA,NA,Adult,Dreams,226,3,SI,case
227,13,NA,NA,Adult,Dreams,227,3,SI,case
228,13,NA,NA,Adult,Dreams,228,3,SI,case
229,13,NA,NA,Adult,Dreams,229,3,SI,case
230,13,NA,NA,Adult,Dreams,230,3,SI,case
231,13,NA,NA,Adult,Dreams,231,3,SI,case
232,13,NA,NA,Adult,Dreams,232,3,SI,case
233,13,NA,NA,Adult,Dreams,233,3,SI,case
234,13,NA,NA,Adult,Dreams,234,3,SI,case
235,13,NA,NA,Adult,Dreams,235,3,SI,case
236,13,NA,NA,Adult,Dreams,236,3,SI,case
237,13,NA,NA,Adult,Dreams,237,3,SI,case
238,13,NA,NA,Adult,Dreams,238,3,SI,case
239,13,NA,NA,Adult,Dreams,239,3,SI,case
240,22,2.9,13.4,Adult,Sleep disturbance,240,5,Suicidality,case
241,22,0.4,2.7,Adult,Sleep quality,241,5,Suicidality,case
242,22,0.8,2.6,Adult,Sleep latency,242,5,Suicidality,case
243,22,1.1,2.4,Adult,Sleep duration,243,5,Suicidality,case
244,22,1,2.5,Adult,sleep efficiency,244,5,Suicidality,case
245,22,0.6,1.6,Adult,Sleep disturbance,245,5,Suicidality,case
246,11,NA,NA,Adult,Nightmares,246,6,SA,case
247,2674,NA,NA,Adult,Sleep Disorder,247,8,SD,case
248,294,NA,NA,Adult,sleep quality,248,12,Suicidality,case
249,29,2.1,4.2,Adult,Nightmares,249,1,Suicidality,case
250,NA,NA,NA,Adult,Insomnia,250,2,Suicidality,case
251,NA,NA,NA,Adult,Hypersomnia,251,2,Suicidality,case
252,NA,NA,NA,Adult,No Sleep Problem,252,2,Suicidality,case
253,NA,NA,NA,Adult,Sleep disturbance,253,3,Suicidality,case
254,NA,NA,28,Adult,Insomnia,254,7,SA,case
255,NA,NA,28,Adult,Insomnia,255,7,SA,case
256,NA,NA,28,Adult,Insomnia,256,7,SA,case
257,NA,NA,28,Adult,Nightmares,257,7,SA,case
258,NA,NA,NA,Adolescent,Insomnia,258,9,SI,case
259,NA,NA,NA,Adolescent,Insomnia,259,9,SP,case
260,NA,NA,NA,Adolescent,Insomnia,260,9,SA,case
261,20,0.85,1.9,Adult,Insomnia,261,15,SD,case
262,20,0.89,2.2,Adult,Insomnia,262,15,SD,case
263,20,0.85,1.75,Adult,Insomnia,263,15,SD,case
264,20,0.89,1.8,Adult,Nonrestorative sleep,264,15,SD,case
265,NA,NA,NA,Adult,No sleep disorder,265,16,SD,case
266,NA,NA,NA,Adult,Insomnia,266,16,SD,case
267,NA,NA,NA,Adult,Insomnia,267,16,SD,case
268,NA,NA,NA,Adult,Insomnia,268,16,SD,case
269,NA,NA,NA,Adult,Insomnia,269,17,Suicidality,case
270,NA,NA,NA,Adult,Sleep disturbance,270,13,SI,case
271,NA,NA,NA,Adult,Sleep problems,271,14,SD,case
272,434,NA,NA,Adult,Sleep duration,272,18,SA,case
273,NA,NA,NA,Adult,Insomnia,273,19,SI,case
274,157,NA,NA,Adult,Sleep problems,274,20,SD,case
275,NA,NA,NA,Adult,Insomnia,275,24,SA,case
276,NA,NA,NA,Adult,Sleep problems,276,31,Suicidality,case
277,NA,NA,NA,Adult,Insomnia,277,32,SI,case
278,NA,NA,NA,Adult,Sleep disturbance,278,32,Suicidality,case
279,NA,NA,NA,Adult,Sleep disturbance,279,32,Suicidality,case
280,NA,NA,NA,Adult,Insomnia,280,36,Suicidality,case
281,NA,NA,NA,Adult,Nightmares,281,36,Suicidality,case
282,NA,NA,NA,Adult,Insomnia,282,51,SA,case
283,NA,NA,NA,Adult,Insomnia,283,51,SI,case
284,36,NA,NA,Adult,Insomnia,284,42,Suicidality,case
285,36,NA,NA,Adult,Sleep disturbance,285,42,Suicidality,case
286,36,NA,NA,Adult,Insomnia,286,42,Suicidality,case
287,NA,NA,NA,Adolescent,Sleep duration,287,39,SI,case
288,NA,NA,NA,Adolescent,Sleep duration,288,39,SP,case
289,NA,NA,NA,Adolescent,Sleep duration,289,39,SA,case
290,NA,NA,NA,Adolescent,Sleep duration,290,39,SI,case
291,NA,NA,NA,Adolescent,Sleep duration,291,39,SP,case
292,NA,NA,NA,Adolescent,Sleep duration,292,39,SA,case
293,20,10.5,15.3,Adolescent,Delta,293,35,Suicidality,case
294,20,22.7,28.7,Adolescent,Sleep latency,294,35,Suicidality,case
295,20,29.8,78.3,Adolescent,Delta,295,35,Suicidality,case
296,20,45.3,86.7,Adolescent,GH,296,35,Suicidality,case
297,20,7.6,16.4,Adolescent,GH,297,35,Suicidality,case
298,20,4.1,2.65,Adolescent,GH,298,35,Suicidality,case
299,20,11.5,44.8,Adolescent,GH,299,35,Suicidality,case
300,20,12.4,49.1,Adolescent,GH,300,35,Suicidality,case
301,20,19.6,71,Adolescent,GH,301,35,Suicidality,case
302,20,0.57,0.44,Adolescent,GH,302,35,Suicidality,case
303,13,49.4,110,Adolescent,GH,303,35,Suicidality,case
304,13,10.2,25.7,Adolescent,GH,304,35,Suicidality,case
305,13,1.6,2.14,Adolescent,GH,305,35,Suicidality,case
306,13,13.6,64.7,Adolescent,GH,306,35,Suicidality,case
307,13,14,71.6,Adolescent,GH,307,35,Suicidality,case
308,13,15.4,98.8,Adolescent,GH,308,35,Suicidality,case
309,13,0.1,0.18,Adolescent,GH,309,35,Suicidality,case
310,13,6.7,12.2,Adolescent,Delta,310,35,Suicidality,case
311,13,20.7,30.5,Adolescent,Sleep latency,311,35,Suicidality,case
312,13,29.3,82.8,Adolescent,Delta,312,35,Suicidality,case
313,13,9.3,18.1,Adolescent,Sleep,313,37,Suicidality,case
314,13,5.3,9.7,Adolescent,Time awake,314,37,Suicidality,case
315,13,21,459.5,Adolescent,Total sleep time,315,37,Suicidality,case
316,13,10.4,16.7,Adolescent,Stage 1,316,37,Suicidality,case
317,13,36.4,225.5,Adolescent,Stage 2,317,37,Suicidality,case
318,13,24.1,39.5,Adolescent,Stage 3,318,37,Suicidality,case
319,13,30.6,81,Adolescent,Stage 4,319,37,Suicidality,case
320,13,26,96.9,Adolescent,REM,320,37,Suicidality,case
321,13,53.5,103,Adolescent,REM,321,37,Suicidality,case
322,13,0.3,1.22,Adolescent,REM,322,37,Suicidality,case
323,NA,NA,NA,Adult,Insomnia,323,45,SI,case
324,NA,NA,NA,Adult,Total sleep Time,324,45,SI,case
325,NA,NA,NA,Adult,Sleep latency,325,45,SI,case
326,NA,NA,NA,Adult,Sleep efficiency,326,45,SI,case
327,NA,NA,NA,Adult,Awake,327,45,SI,case
328,NA,NA,NA,Adult,NREM,328,45,SI,case
329,NA,NA,NA,Adult,NREM,329,45,SI,case
330,NA,NA,NA,Adult,NREM,330,45,SI,case
331,NA,NA,NA,Adult,REM,331,45,SI,case
332,NA,NA,NA,Adult,REM,332,45,SI,case
333,NA,NA,NA,Adult,Beta,333,45,SI,case
334,NA,NA,NA,Adult,Alpha,334,45,SI,case
335,NA,NA,NA,Adult,Delta,335,45,SI,case
336,NA,NA,NA,Adult,Alpha-Delta,336,45,SI,case
337,NA,NA,NA,Adult,Insomnia,337,50,SA,case
338,NA,NA,NA,Adult,Insomnia,338,50,SA,case
339,NA,NA,NA,Adult,Sleep duration,339,50,SA,case
340,NA,NA,NA,Adult,Sleep duration,340,50,SA,case
341,NA,NA,NA,Adult,Insomia and sleep duration,341,50,SA,case
342,NA,NA,NA,Adult,Hypersomnia,342,144,SI,case
343,NA,NA,NA,Adult,Insomnia,343,144,SI,case
344,NA,NA,NA,Adult,Sleep disturbance,344,144,SI,case
345,NA,NA,NA,Adult,No Sleep Problem,345,144,SI,case
346,NA,NA,NA,Adult,Hypersomnia,346,144,SP,case
347,NA,NA,NA,Adult,Insomnia,347,144,SP,case
348,NA,NA,NA,Adult,Sleep disturbance,348,144,SP,case
349,NA,NA,NA,Adult,No Sleep Problem,349,144,SP,case
350,NA,NA,NA,Adult,Hypersomnia,350,144,SA,case
351,NA,NA,NA,Adult,Insomnia,351,144,SA,case
352,NA,NA,NA,Adult,Sleep disturbance,352,144,SA,case
353,NA,NA,NA,Adult,No Sleep Problem,353,144,SA,case
354,NA,NA,NA,Adult,Hypersomnia,354,144,SA,case
355,NA,NA,NA,Adult,Insomnia,355,144,SA,case
356,NA,NA,NA,Adult,Sleep disturbance,356,144,SA,case
357,NA,NA,NA,Adult,No Sleep Problem,357,144,SA,case
358,49,NA,NA,Adult,Sleep disturbance,358,82,SD,case
359,49,NA,NA,Adult,Insomnia,359,82,SD,case
360,49,NA,NA,Adult,Sleep disturbance,360,82,SD,case
361,49,NA,NA,Adult,Insomnia,361,82,SD,case
362,49,NA,NA,Adult,Lack of deep sleep,362,82,SD,case
363,49,NA,NA,Adult,Day-night reversal,363,82,SD,case
364,49,NA,NA,Adult,Sleep disturbance,364,82,SD,case
365,49,NA,NA,Adult,Frequency of sleep problems,365,82,SD,case
366,49,NA,NA,Adult,Frequency of sleep problems,366,82,SD,case
367,49,NA,NA,Adult,Frequency of sleep problems,367,82,SD,case
368,49,NA,NA,Adult,Frequency of sleep problems,368,82,SD,case
369,49,NA,NA,Adult,Frequency of sleep problems,369,82,SD,case
370,NA,NA,NA,Adult,Insomnia,370,29,SI,case
371,NA,NA,NA,Adult,Sleep disturbance,371,31,Suicidality,case
372,NA,NA,NA,Adult,Sleep disturbance,372,31,Suicidality,case
373,NA,NA,NA,Adult,Sleep disturbance,373,31,Suicidality,case
374,217,NA,NA,Adult,Sleep quality ,374,34,SD,case
375,261,NA,NA,Adult,Sleep disturbance,375,44,SD,case
376,NA,NA,NA,Adolescent,Sleep disturbance,376,52,SI,case
377,NA,NA,NA,Adolescent,Sleep disturbance,377,52,SI,case
378,NA,NA,NA,Adolescent,Sleep disturbance,378,52,SI,case
379,NA,NA,NA,Adult,Insomnia,379,53,SD,case
380,NA,NA,NA,Adult,Insomnia,380,53,SD,case
381,NA,NA,NA,Adult,Insomnia,381,53,SD,case
382,NA,NA,NA,Adult,Nonrestorative sleep,382,53,SD,case
383,NA,NA,NA,Adult,Insomnia,383,53,SD,case
384,2038,NA,456,Adolescent,Sleep duration,384,54,SI,case
385,NA,NA,NA,Adolescent,Sleep duration,385,54,SI,case
386,NA,NA,NA,Adolescent,Sleep duration,386,54,SI,case
387,NA,NA,NA,Adolescent,Sleep duration,387,54,SI,case
388,NA,NA,NA,Adolescent,Sleep duration,388,54,SI,case
389,NA,NA,NA,Adolescent,Sleep duration,389,54,SI,case
390,NA,NA,NA,Adolescent,Sleep duration,390,54,SI,case
391,140,NA,NA,Adolescent,Sleep disturbance,391,60,SD,case
392,140,NA,NA,Adolescent,Insomnia,392,60,SD,case
393,140,NA,NA,Adolescent,Insomnia,393,60,SD,case
394,140,NA,NA,Adolescent,Insomnia,394,60,SD,case
395,140,NA,NA,Adolescent,Insomnia,395,60,SD,case
396,140,NA,NA,Adolescent,Circadian Reversal,396,60,SD,case
397,140,NA,NA,Adolescent,Non-restorative Sleep,397,60,SD,case
398,140,NA,NA,Adolescent,Hypersomnia,398,60,SD,case
399,140,NA,NA,Adolescent,Sleep disturbance,399,60,SD,case
400,140,NA,NA,Adolescent,Insomnia,400,60,SD,case
401,140,NA,NA,Adolescent,Hypersomnia,401,60,SD,case
402,409,NA,NA,Adult,Sleep disturbance,402,71,SA,case
403,409,NA,NA,Adult,Sleep disturbance,403,71,SA,case
404,409,NA,NA,Adult,Sleep disturbance,404,71,SA,case
405,NA,NA,NA,Adolescent,Nightmares,405,73,SI,case
406,NA,NA,NA,Adolescent,Sleep disturbance,406,73,SI,case
407,NA,NA,NA,Adult,Insomnia,407,74,Suicidality,case
408,72,1.82,3.49,Adult,Insomnia,408,76,SI,case
409,67,6.1,11.1,Adult,Insomnia,409,81,SI,case
410,67,7.6,15.4,Adult,Sleep disturbance,410,81,SI,case
411,40,1.25,8.04,Adolescent,Sleep duration,411,84,SA,case
412,40,1.64,10.23,Adolescent,Sleep duration,412,84,SA,case
413,40,1.51,7.78,Adolescent,Sleep duration,413,84,SA,case
414,40,2.33,9.46,Adolescent,Sleep duration,414,84,SA,case
415,40,0.85,2.54,Adolescent,Total sleep time,415,84,SA,case
416,40,1.59,2.85,Adolescent,Total sleep time,416,84,SA,case
417,40,NA,NA,Adolescent,Nightmares,417,84,SA,case
418,40,NA,NA,Adolescent,Insomnia,418,84,SA,case
419,40,NA,NA,Adolescent,Sleep disturbance,419,84,SA,case
420,40,NA,NA,Adolescent,Sleep disturbance,420,84,SA,case
421,40,NA,NA,Adolescent,Trouble waking,421,84,SA,case
422,40,NA,NA,Adolescent,Insomnia,422,84,SA,case
423,40,NA,NA,Adolescent,Night awakenings,423,84,SA,case
424,40,NA,NA,Adolescent,Sleep disturbance,424,84,SA,case
425,40,NA,NA,Adolescent,Trouble waking,425,84,SA,case
426,211,5.7,8.48,Adult,Insomnia,426,86,SI,case
427,211,2.85,3.62,Adult,Night awakenings,427,86,SI,case
428,211,NA,NA,Adult,Trouble getting back to sleep,428,86,SI,case
429,211,132,75.26,Adult,Sleep onset latency,429,86,SI,case
430,211,2.13,8.22,Adult,Time in bed,430,86,SI,case
431,211,139.08,109.14,Adult,Wake after sleep onset,431,86,SI,case
432,211,23.29,74.04,Adult,Sleep efficiency,432,86,SI,case
433,211,NA,NA,Adult,Nightmares,433,86,SI,case
434,211,8.26,7.12,Adult,Nightmares,434,86,SI,case
435,211,NA,NA,Adult,REM behavior disorder,435,86,SI,case
436,211,NA,NA,Adult,Disruptive noises during sleep,436,86,SI,case
437,NA,NA,NA,Adult,Sleep quality ,437,87,SI,case
